ID,Date of capture,Type (contemporary name),Branch 0 (pre-section),Branch 1 (section),Branch 2 (title),Branch 3 (specifics 1),Branch 4 (specifics 2),Branch 5 (specifics 3),Technique 1,Technique 2,Technique 3,Technique 4,Technique 5
366,2021-02-27,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Wishing or hoping serious harm on a person or group of people,"Content that wishes, hopes, promotes, incites, or expresses a desire for death, serious bodily harm, or serious disease against an entire protected category and/or individuals who may be members of that category","Wishing someone to fall victime to a serious accident, e.g., ""I wish that you would get run over by a car next time you run your mouth.""",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
367,2021-02-27,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Wishing or hoping serious harm on a person or group of people,"Content that wishes, hopes, promotes, incites, or expresses a desire for death, serious bodily harm, or serious disease against an entire protected category and/or individuals who may be members of that category","Saying that a group of individuals deserve serious physical injury, e.g., ""If this group of [slur] don't shut up, they deserve to be shot.""",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
368,2021-02-27,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Wishing or hoping serious harm on a person or group of people,"Content that wishes, hopes, promotes, incites, or expresses a desire for death, serious bodily harm, or serious disease against an entire protected category and/or individuals who may be members of that category","Encouraging others to commit violence against an individual or a group based on their perceived membership in a protected category, e.g., ""I'm in the mood to punch a [racial slur], who's with me?""",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
369,2021-02-27,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Incitement against protected categories,"Inciting fear or spread fearful stereotypes about a protected category, including asserting that members of a protected category are more likely to take part in dangerous or illegal activities, e.g., ""all [religious group] are terrorists.""",,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
370,2021-02-27,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Incitement against protected categories,"Inciting others to harass members of a protected category on or off platform, e.g., ""I'm sick of these [religious group] thinking they are better than us, if any of you see someone wearing a [religious symbol of the religious group], grab it off them and post pics!""",,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
371,2021-02-27,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Incitement against protected categories,"Inciting others to discriminate in the form of denial or support to the economic enterprise of an individual or group because of their perceived membership in a protected category, e.g., ""If you go to a [religious group] store, you are supporting those [slur], let's stop giving our money to these [religious slur].""",,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
226,2021-03-01,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"False or misleading information about the prevalence of the virus, or risk of infection or death.","debate about research related to COVID-19, such as the effectiveness of treatments and mitigation measures, so long as the claims don’t misrepresent research findings",,Strike,,,,
324,2021-03-28,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Exceptions,Conversations regarding certain individuals credibly accused of severe violence,"""I wish all rapists to die.""",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
325,2021-03-28,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Exceptions,Conversations regarding certain individuals credibly accused of severe violence,"""Child abusers should be hanged.""",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
326,2021-05-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Denying mass casualty events took place,"Content that denies that mass murder or other mass casualty events took place, where we can verify that the event occured, and when the content is shared with abusive intent","References to such an event as a ""hoax""",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
327,2021-05-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Denying mass casualty events took place,"Content that denies that mass murder or other mass casualty events took place, where we can verify that the event occured, and when the content is shared with abusive intent","Claims that victims or survivors are fake or ""actors""",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
227,2021-09-20,COVID-19,Help Center,Platform integrity and authenticity,COVID-19 misleading information policy,False or misleading information about COVID-19 is neither shared nor promoted during their Space,,,Close Spaces and disable Spaces feature to hosts,,,,
228,2021-09-20,COVID-19,Help Center,Platform integrity and authenticity,COVID-19 misleading information policy,False or misleading information that is not challenged or provided additional context to by other guests,COVID-19 misleading information policy,,Close Spaces and disable Spaces feature to hosts,,,,
229,2021-09-20,COVID-19,Help Center,Platform integrity and authenticity,COVID-19 misleading information policy,Misleading narrative (or set of narratives) about COVID-19,,,Close Spaces and disable Spaces feature to hosts,,,,
266,2021-10-20,Hateful conduct,Help Center,Safety & cybercrime,Hateful conduct policy,Encouraging others to commit violence against an individual or a group based on their perceived membership in a protected,"Violent threats, e.g., ""I'm in the mood to punch a racial slur who's with me?""",,Tweet removal,Suspension,Report,,
328,2021-10-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Violent threats,Content that makes violent threats against an identifiable target,"Declarative statements of intent to inflict injuries that would result in serious and lasting bodily harm, where an individual could die or be significantly injured, e.g., ""I will kill you.""",Permanent suspension,,,,
235,2021-11-10,Coordinated harmful activity,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Coordinated activity,"Attempt to artificially influence conversations through the use of multiple accounts, fake accounts, automation and/or scripting",,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
236,2021-11-10,Misleading and deceptive identities,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Fake accounts and identity,"Using misleading account information to engage in spamming, abusive, or disruptive behavior","Use of stock or stolen profile photos, particularly those depicting other people",Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
237,2021-11-10,Misleading and deceptive identities,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Fake accounts and identity,"Using misleading account information to engage in spamming, abusive, or disruptive behavior",Use of stolen or copied profile bios,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
238,2021-11-10,Misleading and deceptive identities,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Fake accounts and identity,"Using misleading account information to engage in spamming, abusive, or disruptive behavior","Use of intentionally misleading profile information, including profile location",Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
230,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,A manner intended to artificially amplify or suppress information,,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
231,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Engage in behavior that manipulates or disrupts people's experience on Twitter,,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
232,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,"Using Twitter to engage in bulk, aggressive, or deceptive activity that misleads others and/or disrupts their experience",,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
233,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Commercially-motivated spam,"Drive traffic or attention from a conversation on Twitter to accounts, websites, products, services, or initiatives",,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
234,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Inauthentic engagements,Attempt to make accounts or content appear more popular or active that they are,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
239,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Use of multiple accounts,Identical or similar personas,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
240,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Use of multiple accounts,Mutually interacting accounts,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
241,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Use of multiple accounts,Coordination to post duplicative content or create fake engagement,Posting identical or substantially similar Tweets or hashtags from multiple accounts you operate,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
242,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Use of multiple accounts,Coordination to post duplicative content or create fake engagement,Engaging repeatedly with the same Tweets or accounts from multiple accounts that you operate,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
243,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Use of multiple accounts,Coordination to post duplicative content or create fake engagement,"Coordinating with or compensating others to engage in artificial engagement or amplification, even if the people involved use only account",Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
244,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Artificially inflate your own or others' followers or engagement,selling/purchasing Tweet or account metric inflation,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
245,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Artificially inflate your own or others' followers or engagement,apps,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
246,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Artificially inflate your own or others' followers or engagement,reciprocal inflation,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
247,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Artificially inflate your own or others' followers or engagement,account transfers or sales,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
248,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Misusing Twitter product features to disrupt others’ experience,"sending bulk, aggressive, high-volume unsolicited replies, mentions, or Direct Messages",,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
249,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Misusing Twitter product features to disrupt others’ experience,posting and deleting the same content repeatedly,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
250,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Misusing Twitter product features to disrupt others’ experience,"repeatedly posting identical or nearly identical Tweets, or repeatedly sending identical Direct Messages",,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
251,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Misusing Twitter product features to disrupt others’ experience,repeatedly posting Tweets or sending Direct Messages consisting of links shared without commentary,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
252,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Following,follow churn,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
253,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Following,indiscriminate following,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
254,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Following,duplicating another account’s followers,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
255,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Engagement,"aggressively or automatically engaging with Tweets to drive traffic or attention to accounts, websites, products, services, or initiatives",,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
256,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Engagement,aggressively adding users to Lists or Moments,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
257,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Hashtags,"using a trending or popular hashtag with an intent to subvert or manipulate a conversation or to drive traffic or attention to accounts, websites, products, services, or initiatives",,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
258,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,Hashtags,"Tweeting with excessive, unrelated hashtags in a single Tweet or across multiple Tweets",,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
259,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,URLs,publishing or linking to malicious content intended to damage or disrupt another person’s browser (malware) or computer or to compromise a person’s privacy (phishing),,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
260,2021-11-10,Platform manipulation and spam,Help Center,Platform integrity and authenticity,Platform manipulation and spam policy,URLs,posting misleading or deceptive links,,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension,
329,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Wishing or hoping serious harm on a person or group of people,"Content that wishes, hopes or expresses a desire for death, serious bodily harm or fatal disease against an individual or group of people","Hoping that someone dies as a result of a serious disease e.g., ""I hope you get cancer and die.""",Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
330,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Wishing or hoping serious harm on a person or group of people,"Content that wishes, hopes or expresses a desire for death, serious bodily harm or fatal disease against an individual or group of people","Wishing for someone to fall victim to a serious accident e.g., ""I wish that you would get run over by a car next time you run your mouth.""",Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
331,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Wishing or hoping serious harm on a person or group of people,"Content that wishes, hopes or expresses a desire for death, serious bodily harm or fatal disease against an individual or group of people","Saying that a group of individuals deserves serious physical injury e.g., ""If this group of protesters don't shut up, they deserve to be shot.""",Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
332,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Unwanted sexual advances,Unwanted sexual advances and content that sexually objectifies an individual without their consent,"Sending someone unsolicited and/or unwanted adult media, including images, videos and GIFs",Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
333,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Unwanted sexual advances,Unwanted sexual advances and content that sexually objectifies an individual without their consent,Unwanted sexual discussion of someone's body,Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
334,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Unwanted sexual advances,Unwanted sexual advances and content that sexually objectifies an individual without their consent,Solicitation of sexual acts,Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
335,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Unwanted sexual advances,Unwanted sexual advances and content that sexually objectifies an individual without their consent,Any other content that otherwise sexualizes an individual without their consent,Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
336,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Using aggressive insults with the purpose of harassing or intimidating others,"Excessively aggressive insults that target an individual, including content that contains slurs or similar language",,Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
337,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Encouraging or calling for others to harass an individual or group of people,Behavior that encourages others to harass or target specific individuals or groups with abusive behavior,Calls to target people with abuse or harassment online and behavior that urges offline action such as physical harassment,Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
338,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Exceptions,Conversations regarding certain individuals credibly accused of severe violence,"""I wish all rapists to die.""",Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
339,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Denying mass casualty events took place,"Content that denies that mass murder or other mass casualty events took place, where we can verify that the event occured, and when the content is shared with abusive intent","References to such an event as a ""hoax""",Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
340,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Denying mass casualty events took place,"Content that denies that mass murder or other mass casualty events took place, where we can verify that the event occured, and when the content is shared with abusive intent","Claims that victims or survivors are fake or ""actors""",Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
341,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Violent threats,Content that makes violent threats against an identifiable target,"Declarative statements of intent to inflict injuries that would result in serious and lasting bodily harm, where an individual could die or be significantly injured, e.g., ""I will kill you.""",Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
342,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,"An attempt to harass, intimidate, or silence someone else's voice",,,Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
343,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,"Behavior that harasses or intimidates, or is otherwise intended to shame or degrade others",,,Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
344,2021-11-30,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Behavior that may lead to physical and emotional hardship for those affected,,,Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,Ask to remove Tweet,Suspension
264,2021-12-02,COVID-19,Help Center,Platform integrity and authenticity,COVID-19 misleading information policy,"An account determined to misrepresent their affiliation, or share content that falsely represents its affiliation or expertise on COVID-19","Posing as a medical practictioner, public health official or agency, research institution",,Permanent suspension,,,,
265,2021-12-02,COVID-19,Help Center,Platform integrity and authenticity,COVID-19 misleading information policy,An account that has been set up for the expressed prupose of Tweeting false or misleading information about COVID-19,,,Permanent suspension,,,,
262,2021-12-02,COVID-19,Help Center,Platform integrity and authenticity,COVID-19 misleading information policy,An account dedicated to Tweeting or promoting a particular misleading narrative (or set of narratives) about COVID-19,,,Suspension,Permanent suspension,,,
261,2021-12-02,COVID-19,Help Center,Platform integrity and authenticity,COVID-19 misleading information policy,Pandemic or COVID-19 vaccines that invoke a deliberate conspiracy by malicious and/or powerful forces,,,Tweet removal,,,,
263,2021-12-02,COVID-19,Help Center,Platform integrity and authenticity,COVID-19 misleading information policy,False claims about COVID-19 that invoke a deliberate conspiracy by malicious and/or powerful forces,"The pandemic is a hoax, or part of a deliberate attempt at population control, or that 5G wireless technology is causing COVID-19. ",,Tweet removal,Account locked out,,,
443,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Exceptions,Memes or satire,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
444,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Exceptions,"Animations, illustrations, and cartoons",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
445,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Exceptions,"Commentary, reviews, opinions, and/or reactions",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
446,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Exceptions,Counterspeech,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
447,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Exceptions,"Doctored or fake Tweets, social media posts, or chat messages",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
430,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,"Media that is significantly and deceptively altered, manipulated, or fabricated",,,Label,,,,
431,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Media that is shared in a deceptive manner or with false context,,,Remove,Label,Warning,Demote,Context
432,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,"Media that is likely to result in widespread confusion on public issues, impact public safety, or cause serious harm",,,Remove,Label,Warning,Demote,Context
433,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,"Content that is significantly and deceptively altered, manipulated, or fabricated","Content that has been substantially edited in a manner that fundamentally alters its composition, sequence, timing, or framing",,Remove,Label,Warning,Demote,Context
434,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,"Content that is significantly and deceptively altered, manipulated, or fabricated","Content that contains any visual or auditory information that has been added, edited, or removed that fundamentally changes the understanding, meaning, or context of the media",,Remove,Label,Warning,Demote,Context
435,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,"Content that is significantly and deceptively altered, manipulated, or fabricated","Media that have been created, edited, or post-processed with enhancements or use of filters that fundamentally changes the understanding, meaning, or context of the content",,Remove,Label,Warning,Demote,Context
436,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,"Content that is significantly and deceptively altered, manipulated, or fabricated","Fabricated or simulated media depicting a real person, especially through use of artificial intelligence algorithms",,Remove,Label,Warning,Demote,Context
437,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Content shared in a deceptive manner or with false context,"Inauthentic, fictional, or produced media being presented or endorsed as fact or reality, including produced or staged works, reenacments, or exhibitions portrayed as actual events",,Remove,Label,Warning,Demote,Context
438,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Content shared in a deceptive manner or with false context,"Media presented with false or misleading context surrounding the source, location, time, or authenticity of the media",,Remove,Label,Warning,Demote,Context
439,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Content shared in a deceptive manner or with false context,Media presented with false or misleading context surrounding the identity of the individuals visually depicted in the media,,Remove,Label,Warning,Demote,Context
440,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,"Content likely to result in widespread confusion on public issues, impact public safety or cause serious harm",Threats to physical safety of a person or group,,Remove,Label,Warning,Demote,Context
441,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,"Content likely to result in widespread confusion on public issues, impact public safety or cause serious harm",Incitement of abusive behavior to a person or group,,Remove,Label,Warning,Demote,Context
442,2021-12-24,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,"Content likely to result in widespread confusion on public issues, impact public safety or cause serious harm","Risk of impeding or complicating provision of public services, protection efforts, or emergency response",,Remove,Label,Warning,Demote,Context
346,2022-08-01,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,"Using insults, profanity, or slurs with the purpose or harassing or intimidating others","Moderate, isolated usage of insults and profanity where the primary intent is to harass or intimidate others",,Demote,Making Tweets ineligible in search results or timelines for users who don't follow the Tweet author,Excluding Tweets or accounts in email or in-product recommendations,,
345,2022-08-01,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,"Using insults, profanity, or slurs with the purpose or harassing or intimidating others","Severe, repetitive usage of insults or slurs where the primary intent is to harass or intimidate others",,Tweet removal,,,,
